      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621308241.00 2158.00000 185059.00   22 19 02.19299  114 10 05.68166        7.645  -0.000  -0.001  -0.001  -0.368  -0.071  -0.112   1.0136654720  -0.0222765991 -100.930429325 4
1621308242.00 2158.00000 185060.00   22 19 02.19298  114 10 05.68167        7.645  -0.002  -0.000  -0.001  -0.477  -0.099   0.029   1.0115799056  -0.0214687286 -100.930847584 4
1621308243.00 2158.00000 185061.00   22 19 02.19298  114 10 05.68167        7.645  -0.003  -0.001  -0.002  -0.306   0.131   0.036   1.0121872409  -0.0199332017 -100.931346057 4
1621308244.00 2158.00000 185062.00   22 19 02.19297  114 10 05.68168        7.645  -0.003  -0.002  -0.001   0.080   0.023  -0.013   1.0096375787  -0.0206150215 -100.931896097 4
1621308245.00 2158.00000 185063.00   22 19 02.19296  114 10 05.68168        7.645  -0.003   0.001  -0.001  -0.081  -0.088   0.055   1.0114538549  -0.0217093709 -100.931500756 4
1621308246.00 2158.00000 185064.00   22 19 02.19296  114 10 05.68169        7.645  -0.001  -0.001  -0.002   0.417   0.055   0.019   1.0094083956  -0.0207639905 -100.931884638 4
1621308247.00 2158.00000 185065.00   22 19 02.19295  114 10 05.68169        7.645  -0.001  -0.001   0.000   0.438  -0.014   0.005   1.0095057984  -0.0204775116 -100.932417488 5
1621308248.00 2158.00000 185066.00   22 19 02.19294  114 10 05.68170        7.645   0.001  -0.000   0.000   0.461  -0.068  -0.010   1.0101016745  -0.0205806440 -100.932732615 5
1621308249.00 2158.00000 185067.00   22 19 02.19294  114 10 05.68170        7.645   0.003  -0.000  -0.000   0.331   0.155  -0.062   1.0084859335  -0.0182429762 -100.933236818 5
1621308250.00 2158.00000 185068.00   22 19 02.19293  114 10 05.68171        7.645   0.002   0.001  -0.000   0.221  -0.075  -0.071   1.0119064916  -0.0214973765 -100.933586322 5
1621308251.00 2158.00000 185069.00   22 19 02.19292  114 10 05.68171        7.645   0.005   0.003  -0.001   0.043  -0.046   0.013   1.0095974716  -0.0212338159 -100.934256683 5
1621308252.00 2158.00000 185070.00   22 19 02.19291  114 10 05.68172        7.645   0.004   0.001  -0.004  -0.055   0.019  -0.117   1.0123533986  -0.0199561200 -100.935161956 5
1621308253.00 2158.00000 185071.00   22 19 02.19291  114 10 05.68172        7.645  -0.001   0.002  -0.003   0.318  -0.060  -0.009   1.0108980858  -0.0190794946 -100.934199387 5
1621308254.00 2158.00000 185072.00   22 19 02.19290  114 10 05.68173        7.645   0.000  -0.000  -0.005   0.346  -0.040  -0.000   1.0131211621  -0.0183575678 -100.934399922 5
1621308255.00 2158.00000 185073.00   22 19 02.19289  114 10 05.68173        7.645  -0.002  -0.002  -0.005   0.111   0.017   0.105   1.0085145814  -0.0190966833 -100.934611917 5
1621308256.00 2158.00000 185074.00   22 19 02.19289  114 10 05.68174        7.645  -0.003  -0.001  -0.005  -0.199  -0.023   0.031   1.0085890659  -0.0182143283 -100.933735291 5
1621308257.00 2158.00000 185075.00   22 19 02.19288  114 10 05.68174        7.645  -0.001  -0.004  -0.007   0.094   0.018   0.059   1.0068816517  -0.0170053874 -100.934090525 5
1621308258.00 2158.00000 185076.00   22 19 02.19285  114 10 05.68175        7.646  -0.002   0.000  -0.005   0.332   0.043  -0.012   1.0069561362  -0.0164324296 -100.936015663 5
1621308259.00 2158.00000 185077.00   22 19 02.19270  114 10 05.68119        7.649  -0.003  -0.004  -0.008  -0.097  -0.104  -0.001   1.0051284008  -0.0172288409 -100.935385410 4
1621308260.00 2158.00000 185078.00   22 19 02.19259  114 10 05.67824        7.630   0.001  -0.004  -0.010   0.039  -0.101  -0.035   1.0037189247  -0.0158308239 -100.935442706 4
1621308261.00 2158.00000 185079.00   22 19 02.19254  114 10 05.67685        7.606  -0.002  -0.004  -0.013   0.036   0.047  -0.032   1.0042918825  -0.0153724576 -100.935591675 5
1621308262.00 2158.00000 185080.00   22 19 02.19246  114 10 05.67619        7.590  -0.003  -0.007  -0.013   0.050   0.042  -0.068   1.0020000513  -0.0151661928 -100.936055770 5
1621308263.00 2158.00000 185081.00   22 19 02.19237  114 10 05.67582        7.578  -0.008  -0.005  -0.013   0.004  -0.065  -0.057   0.9987055440  -0.0145244801 -100.935952638 5
1621308264.00 2158.00000 185082.00   22 19 02.19206  114 10 05.67561        7.552  -0.011   0.040  -0.017  -0.251   0.445  -0.041   0.9971986650  -0.0018964903 -100.935293737 4
1621308265.00 2158.00000 185083.00   22 19 02.18997  114 10 05.66569        7.524  -0.006   0.485  -0.017  -0.116   0.354   0.030   0.9168757117  -0.1276779151 -100.683473056 4
1621308266.00 2158.00000 185084.00   22 19 02.18634  114 10 05.64325        7.497   0.013   0.784  -0.024   0.393   0.272  -0.034   0.8005595497  -0.1719962005 -99.6093032414 3
1621308267.00 2158.00000 185085.00   22 19 02.18149  114 10 05.61169        7.460  -0.007   1.088  -0.040   0.101   0.372  -0.395   0.8416692715   0.1154739140 -99.6810948531 2
1621308268.00 2158.00000 185086.00   22 19 02.17196  114 10 05.56643        7.501  -0.011   1.672  -0.045   0.013   1.296   0.256   0.9448532408   0.5438744574 -102.232372782 2
1621308269.00 2158.00000 185087.00   22 19 02.15622  114 10 05.49341        7.519   0.027   2.572  -0.071   0.834   0.211  -0.194   0.9998686483   0.2880774498 -103.550450731 2
1621308270.00 2158.00000 185088.00   22 19 02.13468  114 10 05.39424        7.445   0.064   3.262  -0.038  -0.422   0.336   0.189   1.1516623569   0.4115842321 -103.968171341 3
1621308271.00 2158.00000 185089.00   22 19 02.11194  114 10 05.28396        7.398   0.053   3.208  -0.039   0.070  -0.229  -0.482   1.0989616990   0.5404195219 -102.836482292 3
1621308272.00 2158.00000 185090.00   22 19 02.09500  114 10 05.17902        7.369   0.138   3.042  -0.060   1.170   0.340   0.024   0.6274861885   1.0498019201 -98.5013575642 3
1621308273.00 2158.00000 185091.00   22 19 02.10252  114 10 05.07702        7.392   0.335   2.765   0.009   1.358  -1.012  -0.308   0.4206885315   1.0898860475 -78.9496082533 2
1621308274.00 2158.00000 185092.00   22 19 02.14453  114 10 05.00577        7.422   0.245   2.269  -0.028   0.947   0.225   0.272   0.6919038334   0.7375857584 -49.9138890948 2
1621308275.00 2158.00000 185093.00   22 19 02.21830  114 10 04.96761        7.408   0.409   2.930  -0.053   0.635   1.577  -0.185   0.2028041412   0.9552352360 -19.2726276028 2
1621308276.00 2158.00000 185094.00   22 19 02.32722  114 10 04.95495        7.406   0.112   3.681  -0.038  -3.047   0.466  -0.096   1.9618475976   0.9962933916  -7.7832653652 2
1621308277.00 2158.00000 185095.00   22 19 02.45086  114 10 04.92869        7.412   0.009   4.112  -0.101  -0.052  -1.162  -0.816   1.0715685868   1.0084515561 -13.4640674194 2
1621308278.00 2158.00000 185096.00   22 19 02.58603  114 10 04.89546        7.434   0.096   4.324  -0.079  -0.014  -0.444   0.387   1.0643550481   1.4287676650 -14.7670307413 3
1621308279.00 2158.00000 185097.00   22 19 02.71802  114 10 04.86222        7.459   0.073   4.007  -0.066   0.953  -0.631  -0.208   0.6534984724   1.0165589089 -13.8465339364 3
1621308280.00 2158.00000 185098.00   22 19 02.84205  114 10 04.83472        7.490   0.061   3.807  -0.006  -0.967  -0.755  -0.135   0.3580814332   0.9276931548 -12.5719320254 2
1621308281.00 2158.00000 185099.00   22 19 02.95773  114 10 04.81042        7.512   0.089   3.455   0.010  -0.183  -0.450   0.191   0.2348554002   0.4208661484 -12.4231062381 2
1621308282.00 2158.00000 185100.00   22 19 03.06215  114 10 04.78882        7.516   0.063   3.081  -0.023  -0.660   0.170  -0.345   0.5666896369   0.8378132655 -12.4775372286 2
1621308283.00 2158.00000 185101.00   22 19 03.15427  114 10 04.76945        7.532   0.064   2.695  -0.024   0.081  -0.316  -0.004   0.4740366318   0.8313846790 -12.5214429845 2
1621308284.00 2158.00000 185102.00   22 19 03.23401  114 10 04.75266        7.548   0.055   2.346  -0.029  -0.178  -0.330   0.243   0.3107837672   0.9854931372 -12.5759427299 2
1621308285.00 2158.00000 185103.00   22 19 03.30329  114 10 04.73811        7.567   0.037   2.000  -0.033  -0.173   0.273   0.152   0.1132336491   0.6921960419 -12.5668785376 3
1621308286.00 2158.00000 185104.00   22 19 03.36349  114 10 04.72591        7.574   0.049   1.784  -0.015  -0.163  -0.147  -0.396   0.2542843991   0.9161022186 -12.5636986219 2
1621308287.00 2158.00000 185105.00   22 19 03.41971  114 10 04.71444        7.587   0.046   1.799  -0.000   0.552   0.117  -0.019   0.0525345002   0.6007462482 -12.2234877423 2
1621308288.00 2158.00000 185106.00   22 19 03.47913  114 10 04.70332        7.622   0.058   2.000  -0.017   0.065   0.467   0.009   0.2124069138   0.8405118967 -11.8294933144 2
1621308289.00 2158.00000 185107.00   22 19 03.54946  114 10 04.68980        7.647   0.062   2.384   0.003  -0.792   0.004  -0.217   0.2093874262   0.7828551538 -11.9236417393 2
1621308290.00 2158.00000 185108.00   22 19 03.62391  114 10 04.67539        7.656   0.062   2.235  -0.008   0.575  -0.318  -0.374   0.2755583220   0.6230858726 -11.9930211987 2
1621308291.00 2158.00000 185109.00   22 19 03.69310  114 10 04.66182        7.648   0.071   2.047  -0.002  -0.141   0.209  -0.112   0.1716295075   0.8427693504 -12.1335161797 2
1621308292.00 2158.00000 185110.00   22 19 03.75645  114 10 04.64909        7.670   0.035   1.960   0.010  -0.363  -0.240  -0.177   0.1136060716   0.6906204079 -12.5004326221 2
1621308293.00 2158.00000 185111.00   22 19 03.81847  114 10 04.63627        7.691   0.045   1.952  -0.007   0.583   0.193  -0.131  -0.0035867158   0.8197880133 -12.7724901720 2
1621308294.00 2158.00000 185112.00   22 19 03.88582  114 10 04.62309        7.713   0.075   2.275  -0.003   0.091   0.174  -0.166  -0.1799030181   0.6884374387 -11.7339640613 2
1621308295.00 2158.00000 185113.00   22 19 03.96355  114 10 04.61005        7.738   0.054   2.537  -0.028  -0.028   0.207  -0.305  -0.2273439235   0.8801777649 -10.7606806547 2
1621308296.00 2158.00000 185114.00   22 19 04.04978  114 10 04.59164        7.767   0.078   2.830  -0.008   0.286   0.481  -0.108  -0.5005302002   0.6832922777 -14.1005146678 3
1621308297.00 2158.00000 185115.00   22 19 04.14253  114 10 04.56499        7.789   0.070   3.033  -0.020  -0.117   0.463  -0.304  -0.4539372723   0.6622532675 -17.6369075822 3
1621308298.00 2158.00000 185116.00   22 19 04.23964  114 10 04.53510        7.808   0.135   3.115  -0.027  -1.165  -0.203   0.214  -0.1315339210   0.4806199169 -17.6018998609 3
1621308299.00 2158.00000 185117.00   22 19 04.33863  114 10 04.50682        7.830   0.176   3.178  -0.025   0.986   1.148  -1.185  -0.2873727117   0.5391189078 -15.8541780506 3
1621308300.00 2158.00000 185118.00   22 19 04.44111  114 10 04.48194        7.859   0.030   3.374  -0.023  -1.200  -0.295   0.039   0.1904110641   1.3934562761 -14.3386473867 3
1621308301.00 2158.00000 185119.00   22 19 04.54906  114 10 04.45779        7.923   0.165   3.296   0.048  -0.104  -0.835  -1.362  -0.5782175477   0.9465148184 -12.4537652097 4
1621308302.00 2158.00000 185120.00   22 19 04.64873  114 10 04.43883        7.982   0.092   2.929   0.019  -0.072  -0.599  -0.425  -0.6132940239   0.6777002097 -11.3717172249 3
1621308303.00 2158.00000 185121.00   22 19 04.73626  114 10 04.42396        8.028   0.059   2.529   0.014  -0.163  -0.643   0.070  -0.5725166176   0.9624545043 -10.5496774875 3
1621308304.00 2158.00000 185122.00   22 19 04.81231  114 10 04.41210        8.083   0.070   2.215   0.002  -0.030  -0.008   0.078  -0.1740244711   1.1211007882 -10.1060248075 3
1621308305.00 2158.00000 185123.00   22 19 04.87950  114 10 04.40200        8.134   0.111   1.966   0.022  -0.123  -0.351  -0.252   0.2922371234   0.7047724655 -10.1424018979 3
1621308306.00 2158.00000 185124.00   22 19 04.93715  114 10 04.39278        8.173   0.023   1.571   0.038   0.210  -1.432   0.078   0.5468481084   0.2461598575 -10.4691711877 3
1621308307.00 2158.00000 185125.00   22 19 04.98092  114 10 04.38568        8.200  -0.001   1.133   0.026  -0.524   0.322   0.832   0.8052921811   0.6272168983 -10.6862820850 4
1621308308.00 2158.00000 185126.00   22 19 05.00779  114 10 04.38087        8.239   0.013   0.552   0.020  -0.602  -0.508  -0.052   0.5930285067   0.7845912159 -10.8244222094 4
1621308309.00 2158.00000 185127.00   22 19 05.02032  114 10 04.37855        8.274   0.006   0.334   0.018  -0.315   0.024   0.003   0.3524320694   0.8878840472 -10.8916588066 4
1621308310.00 2158.00000 185128.00   22 19 05.03162  114 10 04.37650        8.306   0.014   0.305   0.020  -0.274   0.166  -0.031   0.2357721327   0.8629833014 -10.9623904464 4
1621308311.00 2158.00000 185129.00   22 19 05.04002  114 10 04.37507        8.339   0.001   0.162   0.023  -0.555  -0.204  -0.048   0.2636751773   0.8260504420 -11.0126388451 4
1621308312.00 2158.00000 185130.00   22 19 05.04373  114 10 04.37446        8.368  -0.003   0.042   0.019   0.362  -0.113   0.079   0.2847772129   0.8073032629 -11.0271461364 4
1621308313.00 2158.00000 185131.00   22 19 05.04515  114 10 04.37421        8.393  -0.000  -0.007   0.016   0.507  -0.015   0.004   0.2878539963   0.8053838543 -11.0335747229 3
1621308314.00 2158.00000 185132.00   22 19 05.04586  114 10 04.37406        8.423  -0.000  -0.010   0.014  -0.211   0.065  -0.055   0.2895442218   0.8085866884 -11.0332194891 3
1621308315.00 2158.00000 185133.00   22 19 05.04576  114 10 04.37409        8.447  -0.001  -0.007   0.012  -0.620  -0.038  -0.027   0.2943971743   0.8058422205 -11.0358722837 4
1621308316.00 2158.00000 185134.00   22 19 05.04576  114 10 04.37409        8.450  -0.004  -0.002   0.012  -0.200  -0.181   0.073   0.2949414842   0.8038941640 -11.0332710553 4
1621308317.00 2158.00000 185135.00   22 19 05.04576  114 10 04.37409        8.450  -0.003  -0.003   0.007   0.166  -0.045   0.068   0.2947294898   0.8054067726 -11.0354654836 4
1621308318.00 2158.00000 185136.00   22 19 05.04576  114 10 04.37409        8.450  -0.002  -0.004   0.008   0.396   0.041   0.003   0.2908161881   0.8054125022 -11.0358550949 4
1621308319.00 2158.00000 185137.00   22 19 05.04576  114 10 04.37409        8.450  -0.002  -0.004   0.006   0.561  -0.064   0.068   0.2925178727   0.8085924180 -11.0354654836 4
1621308320.00 2158.00000 185138.00   22 19 05.04576  114 10 04.37410        8.450   0.001  -0.002   0.005   0.614   0.093   0.029   0.2926267347   0.8105519336 -11.0359009316 4
1621308321.00 2158.00000 185139.00   22 19 05.04576  114 10 04.37410        8.450   0.001  -0.001   0.004   0.324   0.055  -0.006   0.2893093091   0.8106550660 -11.0358952020 3
1621308322.00 2158.00000 185140.00   22 19 05.04576  114 10 04.37410        8.450   0.003   0.001   0.004   0.381  -0.144   0.039   0.2908792134   0.8116462830 -11.0359181203 3
1621308323.00 2158.00000 185141.00   22 19 05.04576  114 10 04.37410        8.450  -0.003  -0.003   0.001  -0.352   0.120   0.113   0.2923689037   0.8123051845 -11.0365139964 3
1621308324.00 2158.00000 185142.00   22 19 05.04576  114 10 04.37410        8.450  -0.002  -0.002   0.001   0.543   0.241   0.001   0.2896187063   0.8146142044 -11.0366916133 3
1621308325.00 2158.00000 185143.00   22 19 05.04576  114 10 04.37410        8.450   0.001  -0.002   0.001  -0.156  -0.028  -0.039   0.2907245148   0.8147574438 -11.0361071964 3
1621308326.00 2158.00000 185144.00   22 19 05.04576  114 10 04.37410        8.450   0.000  -0.001   0.001  -0.251   0.005  -0.019   0.2878138892   0.8156627171 -11.0379979571 3
1621308327.00 2158.00000 185145.00   22 19 05.04576  114 10 04.37410        8.450   0.002  -0.003   0.001  -0.514   0.067  -0.039   0.2914980079   0.8173987793 -11.0389605262 3
1621308328.00 2158.00000 185146.00   22 19 05.04576  114 10 04.37410        8.450   0.003   0.001   0.001  -0.307  -0.012  -0.021   0.2941508024   0.8157830383 -11.0397397488 3
1621308329.00 2158.00000 185147.00   22 19 05.04576  114 10 04.37410        8.450  -0.001  -0.002  -0.001  -0.364   0.035  -0.006   0.2931767742   0.8158804411 -11.0389376079 3
1621308330.00 2158.00000 185148.00   22 19 05.04576  114 10 04.37410        8.450  -0.001  -0.001  -0.003  -0.449   0.004  -0.039   0.2960415632   0.8156856355 -11.0380094162 3
1621308331.00 2158.00000 185149.00   22 19 05.04576  114 10 04.37410        8.450   0.004   0.002  -0.003  -0.116  -0.002  -0.122   0.2952737997   0.8150553819 -11.0389146896 4
1621308332.00 2158.00000 185150.00   22 19 05.04576  114 10 04.37411        8.450  -0.001   0.005  -0.003  -0.354   0.041  -0.003   0.2941679912   0.8133708860 -11.0392298163 4
1621308333.00 2158.00000 185151.00   22 19 05.04576  114 10 04.37411        8.450  -0.002   0.009  -0.001   0.143  -0.027   0.040   0.2953253659   0.8118754661 -11.0387599910 4
1621308334.00 2158.00000 185152.00   22 19 05.04576  114 10 04.37411        8.450  -0.004   0.006  -0.000  -0.594   0.002  -0.014   0.2939445376   0.8093945589 -11.0410632813 4
1621308335.00 2158.00000 185153.00   22 19 05.04576  114 10 04.37411        8.450   0.001   0.003  -0.001   0.342   0.032  -0.050   0.2903750106   0.8088101419 -11.0407997207 4
1621308336.00 2158.00000 185154.00   22 19 05.04576  114 10 04.37411        8.450   0.001   0.003  -0.003   0.284  -0.178  -0.008   0.2917672980   0.8073777474 -11.0408856644 4
1621308337.00 2158.00000 185155.00   22 19 05.04576  114 10 04.37411        8.450  -0.004   0.000  -0.003  -0.103   0.223   0.191   0.2924663065   0.8082028067 -11.0408971235 5
1621308338.00 2158.00000 185156.00   22 19 05.04576  114 10 04.37411        8.450  -0.003  -0.000   0.001  -0.158   0.271   0.247   0.2917271910   0.8068334375 -11.0413955968 5
1621308339.00 2158.00000 185157.00   22 19 05.04576  114 10 04.37411        8.450   0.002   0.001   0.003  -0.129   0.196  -0.015   0.2911771515   0.8078704911 -11.0415732137 5
1621308340.00 2158.00000 185158.00   22 19 05.04576  114 10 04.37411        8.450   0.002   0.000   0.005   0.386  -0.142  -0.021   0.2887592696   0.8037967612 -11.0411721433 5
